"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Multiple-Pursuer Single-Evader Reach-Avoid Games in Constant Flow Fields","R. Deng; W. Zhang; R. Yan; Z. Shi; Y. Zhong","Department of Automation, Tsinghua University, Beijing, China; Department of Automation, Tsinghua University, Beijing, China; Department of Computer Science, University of Oxford, Oxford, U.K.; Department of Automation, Tsinghua University, Beijing, China; Department of Automation, Tsinghua University, Beijing, China",IEEE Transactions on Automatic Control,"28 Feb 2024","2024","69","3","1789","1795","This article considers a planar multiple-pursuer single-evader reach-avoid game played in a constant flow field. Such a game problem arises in practical applications, such as maritime escort, aircraft confrontation in airflow fields, and defense of moving targets. The dominance boundary, which serves as an analogy to the Apollonius circle and the Cartesian oval, is investigated. The existence of semipermeable surfaces in the game is shown. Under reasonable assumptions, there exists a semipermeable surface, which is part of the barrier surface separating the winning regions for the evader and pursuers. The winning strategies are designed for both sides of players in their corresponding winning regions. It is also shown that at most two pursuers are necessary for successful protection, as in the situation where there is no flow field. Finally, numerical results are given to illustrate the conclusions.","1558-2523","","10.1109/TAC.2023.3329537","Science and Technology Innovation 2030(grant numbers:2020AAA0108200); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10305293","Differential games;flow fields;multi-agent systems;reach-avoid games;semipermeable surfaces","Games;Sea surface;Mathematical models;Geometry;Vehicle dynamics;Marine vehicles;Collision avoidance","","1","","34","IEEE","2 Nov 2023","","","IEEE","IEEE Journals"
"SASOD: Saliency-Aware Ship Object Detection in High-Resolution Optical Images","Z. Ren; Y. Tang; Y. Yang; W. Zhang","State Key Laboratory of Multimodel Artificial Intelligence Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Multimodel Artificial Intelligence Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Multimodel Artificial Intelligence Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Multimodel Artificial Intelligence Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China",IEEE Transactions on Geoscience and Remote Sensing,"28 Feb 2024","2024","62","","1","15","Ship detection in high-resolution optical remote sensing images (ORSI) is an important yet challenging task with extensive applications, such as maritime security and resource conservation. In recent years, bolstered by deep learning, ship detection has also grown by leaps and bounds. Nevertheless, existing methods still suffer from two challenging issues: 1) imprecise localization for low discriminative ships under the complicated background and 2) missed detections for small ships. To solve the above issues, we propose a novel ship detection method equipped with a saliency-guided feature fusion network (SGFFN) and a dynamic IoU-adaptive strategy (DIAS). SGFFN is designed based on a top-down feature pyramid network to introduce saliency information into the ship detection network and optimize the saliency-aware features. It comprises two components: the resolution-matching saliency supervision (RMS) network and the cross-stage saliency integration network (CSIN). RMS is a bimatching mechanism that adopts diverse prediction structures for the saliency maps with different scales, such that the finer saliency-aware features could be obtained. CSIN is a cross-stage cross-channel integration module that is designed to fuse saliency-aware features with low-level features. Furthermore, a customized training strategy for small ships, i.e., DIAS, is devised to assign appropriate intersection over union (IoU) thresholds for anchors around the small ships during the training phase. Experimental results on two datasets demonstrate that our proposed method achieves state-of-the-art performance.","1558-0644","","10.1109/TGRS.2024.3367959","National Natural Science Foundation of China(grant numbers:62106266,62173328,U22B2048,61973027); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10440362","Deep learning;high-resolution optical images;remote sensing;saliency detection;ship detection","Marine vehicles;Feature extraction;Object detection;Saliency detection;Remote sensing;Optical sensors;Optical imaging","","","","82","IEEE","20 Feb 2024","","","IEEE","IEEE Journals"
"Two-Hop Biconnected Components in the Global Liner Shipping Network Reveal International Trade Statuses","X. Liu; Y. Xu; M. Xu; W. Deng; L. Pan; A. K. Y. Ng","Key Laboratory of Image Information Processing and Intelligent Control, School of Artificial Intelligence and Automation, Huazhong University of Science and Technology, Wuhan, China; Key Laboratory of Image Information Processing and Intelligent Control, School of Artificial Intelligence and Automation, Huazhong University of Science and Technology, Wuhan, China; School of Economics and Management, Dalian University of Technology, Dalian, China; School of Economics and Management, Dalian University of Technology, Dalian, China; Key Laboratory of Image Information Processing and Intelligent Control, School of Artificial Intelligence and Automation, Huazhong University of Science and Technology, Wuhan, China; Faculty of Business and Management, BNU-HKBU United International College, Zhuhai, China",IEEE Transactions on Network Science and Engineering,"24 Apr 2023","2023","10","3","1564","1574","Over 80% of global trade is carried by sea, and 70% of global seaborne trade by value is realized by liner shipping. The global liner shipping network (GLSN) is essential to facilitating international trade. To explore the transportation mechanism of the GLSN, we study a structure termed “two-hop biconnected component”(TBCC) which is a type of highly robust and efficient connected local structure. We find that TBCC is a salient structural property of the GLSN and is strongly associated with international trade statuses. Ports that appear more frequently in TBCCs tend to gain higher container throughputs in reality and play more important roles in maintaining the overall network robustness. Furthermore, we find that countries belonging to the same TBCCs tend to have closer trading relationships and form meaningful multilateral trade clusters in the future. The discovery of TBCC can help better understand international trade statuses and enable better design of robust and efficient liner shipping service routes.","2327-4697","","10.1109/TNSE.2022.3230740","National Natural Science Foundation of China(grant numbers:62172170); National Natural Science Foundation of China(grant numbers:72101046); Fundamental Research Funds for the Central Universities(grant numbers:DUT20RC(3)046); BNU-HKBU UIC(grant numbers:R72021201); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9994032","Complex networks;network structure;network topology;transportation systems analysis","Seaports;Robustness;International trade;Heuristic algorithms;Approximation algorithms;Marine vehicles;Industries","","3","","43","IEEE","20 Dec 2022","","","IEEE","IEEE Journals"
"Toward Next-Generation Smart Ports: A Case Study on Seaport Microgrids Customized for Islands","M. Sadiq; C. -L. Su; Y. Terriche; C. A. Aragon; S. W. Ali; L. Buzna; G. Parise","Department of Electrical Engineering, National Kaohsiung University of Science and Technology, Kaohsiung City, Taiwan; Department of Electrical Engineering, National Kaohsiung University of Science and Technology, Kaohsiung City, Taiwan; Ørsted A/S, Fredericia, Denmark; Dynapower Company LLC, South Burlington, VT, USA; Department of Electrical Engineering, National Kaohsiung University of Science and Technology, Kaohsiung City, Taiwan; Department of Mathematical Methods and Operations Research and the Department of International Research Projects-ERAdiate+, University of Žilina, Žilina, Slovakia; Industrial and Civil Engineering Faculty, Sapienza University of Rome, Rome, Italy",IEEE Transactions on Industry Applications,"19 Sep 2024","2024","60","5","7681","7692","The increase in greenhouse gas emissions (GHG) from the transportation sector, along with the ongoing depletion of fossil fuels, emphasizes the necessity for increased focus on energy storage systems (ESSs) and renewable energy sources (RESs) in seaports and on short-distance vessels such as ferries. This paper investigates the development of next-generation smart ports, wherein the integration of Internet of Things (IoT) and sensors transforms ports into intelligent hubs. This transformation aims to optimize operations for all stakeholders, that leverage emerging technologies to enhance efficiency and connectivity. Notably, many smaller seaports lack shore-power facilities, shore-based power installations that supply electric power to ships from the grid. Consequently, ships often rely on continuous operation of auxiliary diesel engines and generators while at berth to meet auxiliary loads. To address these challenges and overcome economic and logistical constraints, this paper proposes a seaport microgrid (SMG) with a DC distribution that would be created by integrating multiple ships with decentralized control mechanisms supplemented by an onshore charging infrastructure. This helps to achieve a sustainable path by introducing ship-based SMGs involving the integration of shipboard microgrids with onshore charging. The proposed approach relies on adaptive droop control, decentralized power-sharing based on battery charge and reducing traditional communication dependencies. The case study supported by the simulation results shown in the paper emphasizes the potential of this strategy in the evolution of maritime infrastructure.","1939-9367","","10.1109/TIA.2024.3425800","Ministry of Science and Technology, Taiwan(grant numbers:MOST 110-2221-E-992-044-MY3); National Science and Technology Council(grant numbers:NSTC 112-2218-E-992-005,NSTC 113-2221-E-992-037,NSTC 113-2218-E-992-003); Scientific Grant Agency of the Ministry of Education, Science, Research and Sport of the Slovak Republic(grant numbers:VEGA 1/0077/22); Agentúra na Podporu Výskumu a Vývoja(grant numbers:APVV-19-0441); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10592829","Digitalization;decentralized control;Internet of Things;microgrid;mobile shore power;smart ports","Seaports;Microgrids;Marine vehicles;Biological system modeling;Companies;Logistics;Batteries","","","","35","IEEE","10 Jul 2024","","","IEEE","IEEE Journals"
"A Drone-Assisted Deep Learning-Based IoT System for Monitoring Ship Emissions in Ports Considering Adversarial Attacks","M. Elsisi; J. -T. Yu; C. -C. Lai; C. -L. Su","Department of Electrical Engineering, National Kaohsiung University of Science and Technology, Kaohsiung, Taiwan; Department of Electrical Engineering, National Kaohsiung University of Science and Technology, Kaohsiung, Taiwan; Department of Electrical Engineering, National Kaohsiung University of Science and Technology, Kaohsiung, Taiwan; Department of Electrical Engineering, National Kaohsiung University of Science and Technology, Kaohsiung, Taiwan",IEEE Transactions on Instrumentation and Measurement,"21 Mar 2024","2024","73","","1","11","Monitoring ship emissions poses an intricate interdisciplinary challenge, encompassing atmospheric science, transportation, information communication, and computer technology. Key stakeholders in this effort include maritime institutions and shipping companies. However, effectively organizing information from ship emission monitoring, especially for policy implementation in the expansion of emission control areas (ECAs), faces substantial obstacles in data acquisition, transmission, analysis, and information services. To address these challenges, this study suggests an Internet of Things (IoT) paradigm using drones and deep learning for ship emission monitoring in the port areas, integrating vital technologies such as industrial contact elements for the IoT, assisted processing of ship emission, real-time data monitoring and online processing, and tailored information services for port control center. In addition, the suggested IoT paradigm considers adversarial and false data injection (FDI) assaults, which impair the effectiveness of data processing and identification techniques. By actively supporting green port trends and maritime law enforcement, this new IoT paradigm is developing into the framework of the berth area inside the physical infrastructure. Furthermore, this model highlights the possibility for a more widespread adoption of ship pollution monitoring while simultaneously demonstrating the model’s efficacy in the current setting. A more expansive version of the suggested IoT paradigm might function as a strong cyber-physical infrastructure, supporting the capacity for thorough ship emission monitoring and enabling in-depth study on ship emissions.","1557-9662","","10.1109/TIM.2024.3374306","National Kaohsiung University of Science and Technology; National Science and Technology Council(grant numbers:112-2218-E-992-005); Ministry of Science and Technology of Taiwan(grant numbers:MOST 110-2221-E-992-044-MY3); Contact Software Company of IoT Platform; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10462153","Adversarial attacks;cybersecurity;deep learning;Internet of Things (IoT);ship emission","Marine vehicles;Monitoring;Seaports;Drones;Fuels;Continuous wavelet transforms;Generators","","","","43","IEEE","7 Mar 2024","","","IEEE","IEEE Journals"
"The Physical Internet and Maritime Ports: Ready for the Future?","P. Fahim; J. Rezaei; R. Jayaraman; M. Poulin; B. Montreuil; L. Tavasszy","Technology, Policy & Management, Delft University of Technology, Delft, The Netherlands; Technology, Policy & Management, Delft University of Technology, Delft, The Netherlands; Industrial & Systems Engineering, Khalifa University, Abu Dhabi, UAE; Abu Dhabi School of Management, Abu Dhabi, UAE; H. Milton Stewart School of Industrial & Systems Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Technology, Policy & Management, Delft University of Technology, Delft, The Netherlands",IEEE Engineering Management Review,"9 Feb 2022","2021","49","4","136","149","The Physical Internet (PI) is a relatively young and compelling vision about the freight transport and logistics system of the future. Besides showing how many technological and organizational innovations could converge in a real-world logistics system, it also addresses cross-industry interests such as digitalization, standardization, resilience, and environmental sustainability. In the logistics R&D community, the PI is already inspiring new designs of loading and packaging material, architectures for collaboration, and open information exchange, as well as algorithms for system-wide optimization. Our focus is on the position and role of maritime ports within the PI, as the transport hubs that facilitate most of the world's international trade. We introduce the key notions of the PI vision and expand on the unique position of maritime ports in the PI with the respective challenges this may create. Finally, we discuss the requirements for maritime ports to be ready to take up their role in the PI. We found that policy directions for ports to contribute to the development and implementation of the PI lie within the areas of transport infrastructure, (PI) standardization, advanced terminal areas, ICT hardware, information systems (IS) and platforms, and sustainability management.","1937-4178","","10.1109/EMR.2021.3113932","Nederlandse Organisatie voor Wetenschappelijk Onderzoek; Port of Rotterdam and Groningen Seaports(grant numbers:NWO-4381525); Georgia Institute of Technology; Rijksuniversiteit Groningen; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9548830","Freight transport;logistics;maritime;Physical Internet (PI);ports","Seaports;Logistics;Containers;Stakeholders;Technological innovation;Internet;Real-time systems","","8","","63","Crown","27 Sep 2021","","","IEEE","IEEE Journals"
"Healthcare Internet of Things: Security Threats, Challenges, and Future Research Directions","M. Adil; M. K. Khan; N. Kumar; M. Attique; A. Farouk; M. Guizani; Z. Jin","Department of Computer Science and Engineering, University at Buffalo, Buffalo, NY, USA; Center of Excellence in Information Assurance, King Saud University, Riyadh, Saudi Arabia; Thapar Institute of Engineering and Technology, Patiala, India; Department of Software, Sejong University, Seoul, South Korea; Department of Computer Science, Faculty of Computers and Artificial Intelligence, South Valley University, Hurghada, Egypt; Mohammad Bin Zayed University of Artificial Intelligence, Abu Dhabi, UAE; Department of Computer Science and Engineering, University at Buffalo, Buffalo, NY, USA",IEEE Internet of Things Journal,"22 May 2024","2024","11","11","19046","19069","Internet of Things (IoT) applications are switching from general to precise in different industries, e.g., healthcare, automation, military, maritime, smart cities, transportation, logistics, and many more. In the healthcare domain, these applications have demonstrated an incredible improvement in patient assessment, monitoring, prescription, etc., with ease of access through the Internet. Despite its benefits, this technology also offers several security challenges for the research community and healthcare stakeholders, because of its wireless communication and open-area deployment. To explore, patient wearable devices and other networking entities follow unstructured communication format to share their accumulated data in the network, which makes them susceptible to manifold security threats. Considering the significance of these applications, data acquisition, processing, storage, and assessment on client and remote sides need a high standard of secure communication infrastructure. Therefore, security of these applications is one of the major obstacles that prevent their widespread use in different healthcare domains. To discuss different security constraints, in this article, we present a comprehensive survey of the theoretical literature from 2015 to 2023 to highlight the unresolved security problems of this emerging technology. Based on the evaluated literature pros and cons, we determine the security requirements and challenges of Healthcare-IoT (HC-IoT) applications. Following this, we demonstrate future research directions that could be useful for the researchers and industry stakeholders working in this domain. To demonstrate the uniqueness of this work and claim its contribution, we compare our work section-wise with previously published papers to answer the question of reviewers, editors, students, and readers, why this review article is required in the presence of already published review articles.","2327-4662","","10.1109/JIOT.2024.3360289","Guangdong Provincial Key Laboratory of Human Digital Twin(grant numbers:2022B1212010004); Endowed Professorship from the Shenzhen Holdfound Foundation; King Saud University, Riyadh, Saudi Arabia(grant numbers:RSP2024R12); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10430225","Cryptographic techniques;cybersecurity;device-to-device authentication;Healthcare Internet of Things (HC-IoT);secure communication infrastructure;security challenges","Security;Internet of Things;Medical services;Surveys;Authentication;Stakeholders;Databases","","2","","243","IEEE","9 Feb 2024","","","IEEE","IEEE Journals"
"Anisotropic GPMP2: A Fast Continuous-Time Gaussian Processes Based Motion Planner for Unmanned Surface Vehicles in Environments With Ocean Currents","J. Meng; Y. Liu; R. Bucknall; W. Guo; Z. Ji","Department of Mechanical Engineering, University College London, Torrington Place, London, U.K; Department of Mechanical Engineering, University College London, Torrington Place, London, U.K; Department of Mechanical Engineering, University College London, Torrington Place, London, U.K; Department of Industrial and Systems Engineering, Rutgers University, New Brunswick, NJ, USA; School of Engineering, Cardiff University, Cardiff, U.K",IEEE Transactions on Automation Science and Engineering,"13 Oct 2022","2022","19","4","3914","3931","In the past decade, there is an increasing interest in the deployment of unmanned surface vehicles (USVs) for undertaking ocean missions in dynamic, complex maritime environments. The success of these missions largely relies on motion planning algorithms that can generate optimal navigational trajectories to guide a USV. Apart from minimising the distance of a path, when deployed a USVs’ motion planning algorithms also need to consider other constraints such as energy consumption, the affected of ocean currents as well as the fast collision avoidance capability. In this paper, we propose a new algorithm named anisotropic GPMP2 to revolutionise motion planning for USVs based upon the fundamentals of GP (Gaussian process) motion planning (GPMP, or its updated version GPMP2). Firstly, we integrated the anisotropy into GPMP2 to make the generated trajectories follow ocean currents where necessary to reduce energy consumption on resisting ocean currents. Secondly, to further improve the computational speed and trajectory quality, a dynamic fast GP interpolation is integrated in the algorithm. Finally, the new algorithm has been validated on a WAM-V 20 USV in a ROS environment to show the practicability of anisotropic GPMP2. Note to Practitioners—The work reported in this article will be significant for USVs to conduct missions in complex, dynamic maritime environments where various obstacles and time-varying ocean currents exit. We develop this novel motion planning algorithm based on Gaussian process and optimise the trajectory using probabilistic inferences. The new algorithm can generate collision free trajectories that also minimise the influences caused by adverse ocean currents in a highly efficient way. In addition, the planning has been undertaken in a continuous-time domain making the generated trajectory have a guaranteed smoothness and readily feasible for autopilots to track. We use a coastal area with time-varying vortexes to present a challenging practical maritime environment. The presented algorithm integrates the available information about a fluid field regarding energy consumption and hazard level, along with the density of obstacles to plan a navigational route efficiently. To increase the practical performance of the proposed method, diverse models for generating ocean currents need to be developed in the future to tackle unpredictable situations.","1558-3783","","10.1109/TASE.2021.3139163","Royal Society(grant numbers:IEC-NSFC-191633); University College London (UCL) and Rutgers University through the International Collaborative Research Grant from Rutgers Global at Rutgers, The State University of New Jersey; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9674026","Unmanned surface vehicles;ocean currents;anisotropy;continuous-time motion planning;Gaussian process","Motion planning;Path planning;Gaussian processes;Probabilistic logic;Marine vehicles","","21","","48","IEEE","7 Jan 2022","","","IEEE","IEEE Journals"
"A Generalized Stochastic Petri Net Approach for Modeling Activities of Human Operators in Intermodal Container Terminals","G. Maione; A. M. Mangini; M. Ottomanelli","Department of Electrical and Information Engineering, Politecnico di Bari, Bari, Italy; Department of Electrical and Information Engineering, Politecnico di Bari, Bari, Italy; Dipartimento di Ingegneria Civile, Edile e di Chimica, Politecnico di Bari, Bari, Italy",IEEE Transactions on Automation Science and Engineering,"5 Oct 2016","2016","13","4","1504","1516","This paper proposes a Petri net (PN) representation of the activities performed by the key human operators for unloading/loading containers in an intermodal maritime container terminal (CT) with a low level of automation. These processes are the core of the export, import, and transshipment cycles executed in the terminal. The aim of this paper is to consider both the human component and the material handling resources, e.g., cranes and transporters, by defining an accurate model, which describes how to coordinate humans and use the system resources necessary for serving mother or feeder ships. The developed generalized stochastic PN-based model is of limited complexity and represents a complete, unambiguous, and readable model of the target process before coding it in the target simulation tool. The modular integrated model is tested and validated by the simulation of typical and perturbed scenarios of the Taranto CT, a real terminal that is taken as a case study for its complexity and similarity to CTs with multiple transport modes.","1558-3783","","10.1109/TASE.2016.2553439","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7467519","Discrete-event systems (DESs);generalized stochastic Petri nets (GSPNs);intermodal container terminal (CT);modeling;performance evaluation;simulation","Simulation;Petri nets;Stochastic processes;Discrete-event systems;Human factors","","16","","50","IEEE","10 May 2016","","","IEEE","IEEE Journals"
"Optimizing Fuel Consumption in Thrust Allocation for Marine Dynamic Positioning Systems","M. Kalikatzarakis; A. Coraddu; L. Oneto; D. Anguita","Department of Naval Architecture, Ocean & Marine Engineering, University of Strathclyde, Glasgow, U.K.; Department of Naval Architecture, Ocean & Marine Engineering, University of Strathclyde, Glasgow, U.K.; Department of Informatics, BioEngineering, Robotics, and Systems Engineering (DIBRIS), University of Genoa, Genoa, Italy; Department of Informatics, BioEngineering, Robotics, and Systems Engineering (DIBRIS), University of Genoa, Genoa, Italy",IEEE Transactions on Automation Science and Engineering,"5 Jan 2022","2022","19","1","122","142","In offshore maritime operations, automated systems capable of maintaining the vessel’s position and heading using its own propellers and thrusters to compensate exogenous disturbances, like wind, waves, and currents, are referred to as marine dynamic positioning (DP) systems. DP systems play a central role in several marine operations, such as drilling, pipe-laying, coring, and ocean observation. These operations are the primary cause of fuel consumption, having a strong impact on the overall footprint of the vessel. For this reason, we will face the problem of optimal thrust allocation of an over-actuated vessel to maintain position and heading with minimal fuel consumption. State-of-the-art approaches simplify this problem by roughly approximating it and obtain a simple, mostly convex, optimization problem that can be solved in near-real time by the automation system. In this article, we improve current approaches with the following contributions. We will exploit a higher fidelity representation of the physical system, and we will manipulate the resulting optimization problem accordingly, to allow for near-real-time solutions on conventional computing platforms on-board. We evaluate the quality of the proposal with a case study on a drilling unit equipped with six thrusters. The results will show that it is possible to achieve up to 5% of fuel savings with respect to conventional approaches. Note to Practitioners—This article was motivated by the problem of minimizing fuel consumption in thrust allocation of DP systems. The current approaches simplify this issue by adopting simpler, yet related, optimization problems as surrogates, keeping the problem tractable for near-real-time control. We propose, instead, to solve the original problem with state-of-the-art modelization of the physical system and exploit reasonable and theoretical proprietaries to achieve optimal solutions in near-real-time. The results on a drilling unit will show additional fuel savings of up to 5% with respect to alternative state-of-the-art approaches.","1558-3783","","10.1109/TASE.2021.3069779","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9399178","Fuel consumption optimization;marine dynamic positioning (DP) systems;near real-time optimization;thrust allocation problem","Fuels;Resource management;Optimization;Propellers;Attitude control;Minimization;Surges","","11","","123","IEEE","8 Apr 2021","","","IEEE","IEEE Journals"
"Rapid Ship Detection Method on Movable Platform Based on Discriminative Multi-Size Gradient Features and Multi-Branch Support Vector Machine","J. Feng; B. Li; L. Tian; C. Dong","School of Automation Science and Engineering, South China University of Technology, Guangzhou, China; School of Automation Science and Engineering, South China University of Technology, Guangzhou, China; School of Automation Science and Engineering, South China University of Technology, Guangzhou, China; South China Sea Marine Survey and Technology Center, Guangzhou, China",IEEE Transactions on Intelligent Transportation Systems,"2 Feb 2022","2022","23","2","1357","1367","Vision-based Marine ship detection has been explored for many years, effectively improving maritime transportation management. However, many ship detection methods get troubles on the movable platform, which are summarized as follows: 1) high time efficiency is needed to handle the rapid changing of maritime scenes so that ships can be detected successfully on movable platform; 2) different appearances caused by sizes and viewpoints enlarge the intra-class distance of ships, which exceed the representation capability of some features like histogram of oriented gradients (HOG) with fixed size. For addressing these issues, we propose a rapid ship detection method based on multi-size gradient features and multi-branch support vector machine (SVM) in a “coarse-to-fine” manner that can be applied on a movable platform. The proposed multi-size gradient features are used to represent the ships with different sizes, including the coarse and fine gradient features. To speed up the detection process in a sliding way, the coarse ship locations are firstly generated only based on the coarse gradient features, which highly reduces the computational cost. Then, the multi-size gradient features extracted from these locations are determined by a multi-branch SVM model which is designed to deal with features of different dimensions and improve the precision of ship position with fine gradient features. The proposed method is tested on the changing background where ships have different sizes. Experimental results show that the proposed method obtains average precision (AP) of 0.795 and its detection speed achieves 60.6 frame per second, which achieve real-time performance and satisfactory detection precision.","1558-0016","","10.1109/TITS.2020.3024919","Ocean Public Welfare Scientific Research Project(grant numbers:201505002); National Natural Science Foundation of China(grant numbers:61305038,61273249); Fundamental Research Funds for the Central Universities (SCUT)(grant numbers:2019MS139); Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2019A1515011148); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9210194","Movable platform;multi-branch support vector machine;multi-size gradient feature;rapid ship detection","Marine vehicles;Feature extraction;Support vector machines;Microsoft Windows;Object detection;Visualization;Videos","","8","","36","IEEE","30 Sep 2020","","","IEEE","IEEE Journals"
"On Null Space-Based Inverse Kinematics Techniques for Fleet Management: Toward Time-Varying Task Activation","A. Mannucci; D. Caporale; L. Pallottino","Research Center “E. Piaggio”, University of Pisa, Pisa, Italy; Research Center “E. Piaggio”, University of Pisa, Pisa, Italy; Research Center “E. Piaggio”, University of Pisa, Pisa, Italy",IEEE Transactions on Robotics,"4 Feb 2021","2021","37","1","257","274","Multirobot fleets play an important role in industrial logistics, surveillance, and exploration applications. A wide literature exists on the topic, both resorting to reactive (i.e. collision avoidance) and to deliberative (i.e. motion planning) techniques. In this work, null space-based inverse kinematics (NSB-IK) methods are applied to the problem of fleet management. Several NSB-IK approaches existing in the literature are reviewed, and compared with a reverse priority approach, which originated in manipulator control, and is here applied for the first time to the considered problem. All NSB-IK approaches are here described in a unified formalism, which allows (i) to encode the property of each controller into a set of seven main key features, (ii) to study possible new control laws with an opportune choice of these parameters. Furthermore, motivated by the envisioned application scenario, we tackle the problem of task-switching activation. Leveraging on the iCAT TPC technique Simetti and Casalino, 2016, in this article, we propose a method to obtain continuity in the control in face of activation or deactivation of tasks, and subtasks by defining suitable damped projection operators. The proposed approaches are evaluated formally, and via simulations. Performances with respect to standard methods are compared considering a specific case study for multivehicles management.","1941-0468","","10.1109/TRO.2020.3018642","European Union's Horizon 2020 Research, and Innovation Program(grant numbers:732737); Italian Ministry of Education, University, and Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9194321","Formal methods in robotics and automation;motion control;multirobot systems;path planning for multiple mobile robots or agents","Task analysis;Kinematics;Manipulators;Robot kinematics;Standards;Trajectory","","5","","37","IEEE","10 Sep 2020","","","IEEE","IEEE Journals"
"Multi-Task Learning-Enabled Automatic Vessel Draft Reading for Intelligent Maritime Surveillance","J. Qu; R. W. Liu; C. Zhao; Y. Guo; S. S. -D. Xu; F. Zhu; Y. Lv","Hubei Key Laboratory of Inland Shipping Technology, School of Navigation, Wuhan University of Technology, Wuhan, China; Hubei Key Laboratory of Inland Shipping Technology, School of Navigation, Wuhan University of Technology, Wuhan, China; Hubei Key Laboratory of Inland Shipping Technology, School of Navigation, Wuhan University of Technology, Wuhan, China; Hubei Key Laboratory of Inland Shipping Technology, School of Navigation, Wuhan University of Technology, Wuhan, China; Graduate Institute of Automation and Control and the Advanced Manufacturing Research Center, National Taiwan University of Science and Technology, Taipei, Taiwan; State Key Laboratory of Multimodal Artificial Intelligence Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Multimodal Artificial Intelligence Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China",IEEE Transactions on Intelligent Transportation Systems,"14 May 2024","2024","25","5","4552","4564","The accurate and efficient vessel draft reading (VDR) is an important component of intelligent maritime surveillance, which could be exploited to assist in judging whether the vessel is normally loaded or overloaded. The computer vision technique with an excellent price-to-performance ratio has become a popular medium to estimate vessel draft depth. However, the traditional estimation methods easily suffer from several limitations, such as sensitivity to low-quality images, high computational cost, etc. In this work, we propose a multi-task learning-enabled computational method (termed MTL-VDR) for generating highly reliable VDR. In particular, our MTL-VDR mainly consists of four components, i.e., draft mark detection, draft scale recognition, vessel/water segmentation, and final draft depth estimation. We first construct a benchmark dataset related to draft mark detection and employ a powerful and efficient convolutional neural network to accurately perform the detection task. The multi-task learning method is then proposed for simultaneous draft scale recognition and vessel/water segmentation. To obtain more robust VDR under complex conditions (e.g., damaged and stained scales, etc.), the accurate draft scales are generated by an automatic correction method, which is presented based on the spatial distribution rules of draft scales. Finally, an adaptive computational method is exploited to yield an accurate and robust draft depth. Extensive experiments have been implemented on the realistic dataset to compare our MTL-VDR with state-of-the-art methods. The results have demonstrated its superior performance in terms of accuracy, robustness, and efficiency. The computational speed exceeds 40 FPS, which satisfies the requirements of real-time maritime surveillance to guarantee vessel traffic safety.","1558-0016","","10.1109/TITS.2023.3327824","NSFC(grant numbers:52271365); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10311073","Waterborne transportation;intelligent maritime surveillance;vessel draft reading (VDR);multi-task learning;image segmentation","Multitasking;Task analysis;Surveillance;Visualization;Estimation;Image segmentation;Real-time systems","","","","47","IEEE","7 Nov 2023","","","IEEE","IEEE Journals"
