"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"Trajectory-Aware Offloading Decision in UAV-Aided Edge Computing: A Comprehensive Survey","","Baidya, Tanmay; Nabi, Ahmadun; Moh, Sangman","Sensors","Scholarly Journals","","24","6","2024-01-01","2024","1837","","","14248220","","","ENG","Recently, the integration of unmanned aerial vehicles (UAVs) with edge computing has emerged as a promising paradigm for providing computational support for Internet of Things (IoT) applications in remote, disaster-stricken, and maritime areas. In UAV-aided edge computing, the offloading decision plays a central role in optimizing the overall system performance. However, the trajectory directly affects the offloading decision. In general, IoT devices use ground offload computation-intensive tasks on UAV-aided edge servers. The UAVs plan their trajectories based on the task generation rate. Therefore, researchers are attempting to optimize the offloading decision along with the trajectory, and numerous studies are ongoing to determine the impact of the trajectory on offloading decisions. In this survey, we review existing trajectory-aware offloading decision techniques by focusing on design concepts, operational features, and outstanding characteristics. Moreover, they are compared in terms of design principles and operational characteristics. Open issues and research challenges are discussed, along with future directions.","https://www.proquest.com/docview/3003426889?accountid=44943&bdid=84593&_bd=Bh%2FaZ4svqBkFDK3dJj4it2XLtns%3D","https://doi.org/10.3390/s24061837"
"Leveraging Blockchain for Maritime Port Supply Chain Management through Multicriteria Decision Making","","Durán, Claudia; Amir Karbassi Yazdi; Derpich, Iván; Derpich, Iván; Tan, Yong","Mathematics","Scholarly Journals","","12","10","2024-01-01","2024","1511","","","22277390","","","ENG","This research investigates the optimal integration of Blockchain Technology (BT) in Supply Chain Management (SCM) within Chile’s maritime ports. Utilizing fuzzy Logarithmic Methodology of Additive Weights (LMAW) and Double Normalization-based Multiple Aggregation Methods (DNMA), the study systematically identifies, prioritizes, and ranks key factors influencing BT adoption in SCM. The study’s findings highlight crucial factors like enhanced transaction security, good supply chain practices, and risk management. Furthermore, it ranks the application of ports as prime candidates for BT integration. The research contributes theoretically by developing a hybrid model combining MCDA methods, and practically by guiding the strategic application of BT in the maritime logistics sector, aligning with the principles of Industry 5.0. This paper presents a novel approach that explores the utilization of BT in maritime supply chain management, incorporating MCDA in a vague environment. The research gap of this study lies in defining new contexts in both theoretical and practical literature reviews for extending the use of BT in SCM in the ports of Chile, according to Industry 5.0, to increase the efficiency and effectiveness of all aspects of operations in these places. The contribution of this research is applying hybrid MCDA methods in an uncertain environment to assist decision-makers (DMs) in better implementing BT in SCM in Chilean ports, according to Industry 5.0.","https://www.proquest.com/docview/3059594992?accountid=44943&bdid=84593&_bd=BNbdBks%2BBFlBtxxuumdMkPd7f0k%3D","https://doi.org/10.3390/math12101511"
"Abrupt reduction in shipping emission as an inadvertent geoengineering termination shock produces substantial radiative warming","","Yuan, Tianle; Song, Hua; Oreopoulos, Lazaros; Wood, Robert; Bian, Huisheng; Breen, Katherine; Chin, Mian; Yu, Hongbin; Barahona, Donifan; Meyer, Kerry; Platnick, Steven","Communications Earth & Environment","Scholarly Journals","","5","1","2024-12-01","Dec 2024","281","","281","26624435","","","ENG","Human activities affect the Earth’s climate through modifying the composition of the atmosphere, which then creates radiative forcing that drives climate change. The warming effect of anthropogenic greenhouse gases has been partially balanced by the cooling effect of anthropogenic aerosols. In 2020, fuel regulations abruptly reduced the emission of sulfur dioxide from international shipping by about 80% and created an inadvertent geoengineering termination shock with global impact. Here we estimate the regulation leads to a radiative forcing of +0.2±0.11Wm−2 averaged over the global ocean. The amount of radiative forcing could lead to a doubling (or more) of the warming rate in the 2020 s compared with the rate since 1980 with strong spatiotemporal heterogeneity. The warming effect is consistent with the recent observed strong warming in 2023 and expected to make the 2020 s anomalously warm. The forcing is equivalent in magnitude to 80% of the measured increase in planetary heat uptake since 2020. The radiative forcing also has strong hemispheric contrast, which has important implications for precipitation pattern changes. Our result suggests marine cloud brightening may be a viable geoengineering method in temporarily cooling the climate that has its unique challenges due to inherent spatiotemporal heterogeneity.Shipping fuel regulations in 2020 that reduced sulfur dioxide emissions by 80% led to substantial warming over parts of the oceans, according to simulations with Earth system, machine learning, and energy balance models, suggesting a termination shock after marine cloud geoengineering could be severe.","https://www.proquest.com/docview/3062310764?accountid=44943&bdid=84593&_bd=L4PKyIp1OpWtnn1r3HKvJ9yEgsU%3D","https://doi.org/10.1038/s43247-024-01442-3"
"Machine Learning-Based Extraction Method for Marine Load Cycles with Environmentally Sustainable Applications","","Sun, Xiaojun; Sun, Xiaojun; Gao, Yingbo; Zhang, Qiao; Ding, Shunliang; Ding, Shunliang","Sustainability","Scholarly Journals","","16","11","2024-01-01","2024","4840","","","20711050","","","ENG","The current lack of harmonized standard test conditions for marine shipping hinders the comparison of performance and compliance assessments for different types of ships. This article puts forward a method for extracting ship loading cycles using machine learning algorithms. Time-series data are extracted from real ships in operation, and a segmented linear approximation method and a data normalization technique are adopted. A hierarchical-clustering type of soft dynamic time-warping similarity analysis method is presented to efficiently analyze the similarity of different time-series data, using soft dynamic time warping (Soft-DTW) combined with hierarchical clustering algorithms from the field of machine learning. The problem of data bias caused by spatial and temporal offset characteristics is effectively solved in marine test condition data. The validity and reliability of the proposed method are validated through the analysis of case data. The results demonstrate that the hierarchically clustered soft dynamic time-warping similarity analysis method can be considered reliable for obtaining test cases with different characteristics. Furthermore, it provides input conditions for effectively identifying the operating conditions of different types of ships with high levels of energy consumption and high emissions, thus allowing for the establishment of energy-saving and emissions-reducing sailing strategies.","https://www.proquest.com/docview/3067521850?accountid=44943&bdid=84593&_bd=1i1Pzgi%2BRhvY7ooGvwvNqMaqirQ%3D","https://doi.org/10.3390/su16114840"
"Effects of Seawater on Mechanical Performance of Composite Sandwich Structures: A Machine Learning Framework","","Osa-uwagboe, Norman; Amadi Gabriel Udu; Silberschmidt, Vadim V; Silberschmidt, Vadim V; Baxevanakis, Konstantinos P; Demirci, Emrah","Materials","Scholarly Journals","","17","11","2024-01-01","2024","2549","","","19961944","","","ENG","Sandwich structures made with fibre-reinforced plastics are commonly used in maritime vessels thanks to their high strength-to-weight ratios, corrosion resistance, and buoyancy. Understanding their mechanical performance after moisture uptake and the implications of moisture uptake for their structural integrity and safety within out-of-plane loading regimes is vital for material optimisation. The use of modern methods such as acoustic emission (AE) and machine learning (ML) could provide effective techniques for the assessment of mechanical behaviour and structural health monitoring. In this study, the AE features obtained from quasi-static indentation tests on sandwich structures made from E-glass fibre face sheets with polyvinyl chloride foam cores were employed. Time- and frequency-domain features were then used to capture the relevant information and patterns within the AE data. A k-means++ algorithm was utilized for clustering analysis, providing insights into the principal damage modes of the studied structures. Three ensemble learning algorithms were employed to develop a damage-prediction model for samples exposed and unexposed to seawater and were loaded with indenters of different geometries. The developed models effectively identified all damage modes for the various indenter geometries under different loading conditions with accuracy scores between 86.4 and 95.9%. This illustrates the significant potential of ML for the prediction of damage evolution in composite structures for marine applications.","https://www.proquest.com/docview/3067504177?accountid=44943&bdid=84593&_bd=GCvQ0dQx1ozoXHxO9sYRg2tBcf4%3D","https://doi.org/10.3390/ma17112549"
"Predictive Maintenance of Machinery with Rotating Parts Using Convolutional Neural Networks","","Apeiranthitis, Stamatis; Zacharia, Paraskevi; Chatzopoulos, Avraam; Papoutsidakis, Michail","Electronics","Scholarly Journals","","13","2","2024-01-01","2024","460","","","20799292","","","ENG","All kinds of vessels consist of dozens of complex machineries with rotating parts and electric motors that operate continuously in harsh environments with excess temperature, humidity, vibration, fatigue, and load. A breakdown or malfunction in one of these machineries can significantly impact a vessel’s operation and safety and, consequently, the safety of the crew and the environment. To maintain operational efficiency and seaworthiness, the shipping industry invests substantial resources in preventive maintenance and repairs. This study presents the economic and technical benefits of predictive maintenance over traditional preventive maintenance and repair by replacement approaches in the maritime domain. By leveraging modern technology and artificial intelligence, we can analyze the operating conditions of machinery by obtaining measurements either from sensors permanently installed on the machinery or by utilizing portable measuring instruments. This facilitates the early identification of potential damage, thereby enabling efficient strategizing for future maintenance and repair endeavors. In this paper, we propose and develop a convolutional neural network that is fed with raw vibration measurements acquired in a laboratory environment from the ball bearings of a motor. Then, we investigate whether the proposed network can accurately detect the functional state of ball bearings and categorize any possible failures present, contributing to improved maintenance practices in the shipping industry.","https://www.proquest.com/docview/2918725249?accountid=44943&bdid=84593&_bd=QPrrt0P%2BDRe3iYkbjhp2KEdb714%3D","https://doi.org/10.3390/electronics13020460"
"A Machine Learning Predictive Model for Ship Fuel Consumption","","Melo, Rhuan Fracalossi; Nelio Moura de Figueiredo; Maisa Sales Gama Tobias; Afonso, Paulo; Afonso, Paulo","Applied Sciences","Scholarly Journals","","14","17","2024-01-01","2024","7534","","","20763417","","","ENG","Featured ApplicationFeatured Application: The machine learning predictive model of fuel consumption proposed can help shipping companies toward an increasingly efficient and sustainable energy consumption with reduced operational and logistics costs, supporting a more competitive position in the market in compliance with environmental and safety regulatory standards.AbstractWater navigation is crucial for the movement of people and goods in many locations, including the Amazon region. It is essential for the flow of inputs and outputs, and for certain Amazon cities, boat access is the only option. Fuel consumption accounts for over 25% of a vessel’s total operational costs. Shipping companies are therefore seeking procedures and technologies to reduce energy consumption. This research aimed to develop a fuel consumption prediction model for vessels operating in the Amazon region. Machine learning techniques such as Decision Tree, Random Forest, Extra Tree, Gradient Boosting, Extreme Gradient Boosting, and CatBoost can be used for this purpose. The input variables were based on the main design characteristics of the vessels, such as length and draft. Through metrics like mean, median, and coefficient of determination (R2), six different algorithms were assessed. CatBoost was identified as the model with the best performance and suitability for the data. Indeed, it achieved an R2 value higher than 91% in predicting and optimizing fuel consumption for vessels operating in the Amazon and similar regions.","https://www.proquest.com/docview/3103843009?accountid=44943&bdid=84593&_bd=QVDpBcgXlG%2FgdQnlF7vavMTi%2Fbk%3D","https://doi.org/10.3390/app14177534"
"Correction: Challenges of maritime human resource management for the transition to shipping digitalization","","Theotokas, Ioannis N.; Lagoudis, Ioannis N.; Raftopoulou, Konstantina","Journal of Shipping and Trade","Scholarly Journals","","9","1","2024-12-01","Dec 2024","21","","21","23644575","","","ENG","","https://www.proquest.com/docview/3062309372?accountid=44943&bdid=84593&_bd=jO3AsF9I85CfyYOuQaeC7b%2BGpw4%3D","https://doi.org/10.1186/s41072-024-00179-8"
"Formulating Cybersecurity Requirements for Autonomous Ships Using the SQUARE Methodology","","Yoo, Jiwoon; Yonghyun Jo","Sensors","Scholarly Journals","","23","11","2023-01-01","2023","5033","","","14248220","","","ENG","Artificial intelligence (AI) technology is crucial for developing autonomous ships in the maritime industry. Autonomous ships, based on the collected information, recognize the environment without any human intervention and operate themselves using their own judgment. However, ship-to-land connectivity increased, owing to the real-time monitoring and remote control (for unexpected circumstances) from land; this poses a potential cyberthreat to various data collected inside and outside the ships and to the applied AI technology. For the safety of autonomous ships, cybersecurity around AI technology needs to be considered, in addition to the cybersecurity of the ship systems. By identifying various vulnerabilities and via research cases of the ship systems and AI technologies, this study presents possible cyberattack scenarios on the AI technologies applied to autonomous ships. Based on these attack scenarios, cyberthreats and cybersecurity requirements are formulated for autonomous ships by employing the security quality requirements engineering (SQUARE) methodology.","https://www.proquest.com/docview/2824057286?accountid=44943&bdid=84593&_bd=5P0UM1j8Fw5LMgvlq6EwYZw4sYo%3D","https://doi.org/10.3390/s23115033"
"Ship Classification Based on AIS Data and Machine Learning Methods","","I-Lun, Huang; Man-Chun, Lee; Chung-Yuan Nieh; Juan-Chen, Huang; Juan-Chen, Huang","Electronics","Scholarly Journals","","13","1","2024-01-01","2024","98","","","20799292","","","ENG","AIS ship-type code categorizes ships into broad classes, such as fishing, passenger, and cargo, yet struggles with finer distinctions among cargo ships, such as bulk carriers and containers. Different ship types significantly impact acceleration, steering performance, and stopping distance, thus making precise identification of unfamiliar ship types crucial for maritime monitoring. This study introduces an original classification study based on AIS data for cargo ships, presenting a classifier tailored for bulk carriers, containers, general cargo, and vehicle carriers. The model’s efficacy was tested within the Changhua Wind Farm Channel using eight classification algorithms across tree-structure-based, proximity-based, and regression-based categories and employing standard metrics (Accuracy, Precision, Recall, F1-score) to assess the performance. The results show that tree-structure-based algorithms, particularly XGBoost and Random Forest, demonstrated superior performance. This study also implemented a feature selection strategy with five methods, revealing that a model trained with only four features (three ship-geometric features and one trajectory behavior feature) can achieve high accuracy. Conclusively, the classifier effectively overcame the challenges of limited AIS data labels, achieving a classification accuracy of 97% for ships in the Changhua Wind Farm Channel. These results are pivotal in identifying abnormal ship behavior, highlighting the classifier’s potential for maritime monitoring applications.","https://www.proquest.com/docview/2912662210?accountid=44943&bdid=84593&_bd=gGf%2Bih5Ij%2B04GS%2FTArrDkS7b9XA%3D","https://doi.org/10.3390/electronics13010098"
"A Risk Assessment Model for Navigation Safety of Maritime Aquaculture Platform Based on AIS Ship Trajectory","","Du, Zhixiu; Zhu, Yakun; Li, Daoke","Journal of Electrical Systems","Scholarly Journals","","20","3","2024-01-01","2024","116","123","116-123","11125209","","","ENG","With the rapid increase of maritime aquaculture platform, how to reduce its impact on maritime traffic safety is of great significance to the rapid development of shipping. According to the characteristics of aquaculture platform and maritime environment, The aquaculture platform is superimposed on the ship AIS (Automatic identification systems) big data traffic flow analysis platform. The effects of the distance between the marine aquaculture platform and shipping routes, port facilities and cargo vessel traffic flow channels were studied. The effects between the platform and meteorological conditions, fishing vessel activity and passenger routes were studied. The mathematical assessment model of navigation safety risk of aquaculture platform based on MTLAB was studied. Taking the ""Qiandong No. 1"" semi-submersible wave energy farming platform as an example. The navigation safety risk assessment is carried out and the risk control measures are put forward. Experiments are carried out with actual data and the effectiveness of the proposed method is proved.","https://www.proquest.com/docview/3074174811?accountid=44943&bdid=84593&_bd=6xJc8%2BsSLsV5Ot4%2FgDbXJXkX9LE%3D",""
